epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3248200416564941,0.46109509468078613,1.2872247695922852
1,0.637973964214325,0.9972630143165588,0.6657060384750366,0.9325766563415527
2,0.7910323739051819,0.597719132900238,0.6974063515663147,0.8083731532096863
3,0.8438970446586609,0.42040011286735535,0.6974063515663147,0.794391393661499
4,0.8837531208992004,0.326476126909256,0.6743515729904175,0.8525436520576477
5,0.9114309549331665,0.2654855251312256,0.6858789920806885,0.8407296538352966
6,0.9305286407470703,0.2138930857181549,0.6714697480201721,0.8925833106040955
7,0.9482424855232239,0.1804305613040924,0.6628242135047913,0.9627912640571594
8,0.9540547728538513,0.15608081221580505,0.6657060384750366,1.0333378314971924
9,0.9615278244018555,0.13586163520812988,0.6599423885345459,1.0835667848587036
10,0.9626349210739136,0.12152448296546936,0.6628242135047913,1.1066054105758667
11,0.9665098190307617,0.10920502245426178,0.6484149694442749,1.212518572807312
12,0.9692776203155518,0.1032358855009079,0.6685879230499268,1.1759746074676514
13,0.9678937196731567,0.09892090409994125,0.6858789920806885,1.2165744304656982
14,0.9717686176300049,0.08784941583871841,0.6570605039596558,1.2318201065063477
15,0.971491813659668,0.08875232189893723,0.6772334575653076,1.273797869682312
16,0.972875714302063,0.0840795561671257,0.6772334575653076,1.258022427558899
17,0.9761970639228821,0.07938223332166672,0.6685879230499268,1.2938281297683716
18,0.9759202599525452,0.07830038666725159,0.651296854019165,1.3526818752288818
19,0.977027416229248,0.07145081460475922,0.6685879230499268,1.3395307064056396
20,0.9748131632804871,0.07278081774711609,0.6570605039596558,1.4159780740737915
21,0.9775809645652771,0.07064978778362274,0.651296854019165,1.4081014394760132
22,0.976473867893219,0.06880606710910797,0.6570605039596558,1.4270356893539429
23,0.9778577089309692,0.05941148102283478,0.6570605039596558,1.466099739074707
24,0.9781345129013062,0.06110162287950516,0.6657060384750366,1.4571422338485718
